player,Country,career_start,career_end,matches,Innings,dismissal,catches,stumps,dismissal_per_inning
Q de Kock (SA),South Africa,2012,2022,77,76,87,71,16,1.144
MS Dhoni (IND),India,2006,2019,98,97,91,57,34,0.938
JC Buttler (ENG),England,2011,2022,103,86,64,54,10,0.744
MS Wade (AUS),Australia,2011,2022,75,71,53,47,6,0.746
D Ramdin (WI),West Indies,2006,2019,71,71,63,43,20,0.887
SA Edwards (NED),Netherlands,2018,2022,51,49,47,41,6,0.959
IA Karim (KENYA),Kenya,2013,2022,44,37,60,40,20,1.621
Mohammad Rizwan (PAK),Pakistan,2015,2022,80,74,48,38,10,0.648
Sarfaraz Ahmed (PAK),Pakistan,2010,2021,61,61,46,36,10,0.754
MH Cross (SCOT),Scotland,2013,2022,61,57,50,35,15,0.877
Mushfiqur Rahim (BAN),Bangladesh,2006,2022,102,82,62,32,30,0.756
Mohammad Shahzad (AFG),Afghanistan,2010,2021,70,69,58,30,28,0.84
LJ Tucker (IRE),Ireland,2016,2022,49,35,33,29,4,0.942
GC Wilson (IRE),Ireland,2008,2020,81,51,36,29,7,0.705
Kamran Akmal (PAK),Pakistan,2006,2017,58,53,60,28,32,1.132
W Barresi (NED),Netherlands,2012,2019,42,34,27,26,1,0.794
N Pooran (WI),West Indies,2016,2022,72,45,31,26,5,0.688
ZE Green (NAM),Namibia,2019,2022,35,34,31,25,6,0.911
RR Pant (IND),India,2017,2022,66,52,34,25,9,0.653
KC Sangakkara (SL),Sri Lanka,2006,2014,56,56,45,25,20,0.803
L Ronchi (AUS/ICC/NZ),New Zealand,2008,2018,33,33,30,24,6,0.909
BB McCullum (NZ),New Zealand,2005,2015,71,42,32,24,8,0.761
RW Chakabva (ZIM),Zimbabwe,2008,2022,49,40,25,23,2,0.625
AB de Villiers (SA),South Africa,2006,2017,78,26,28,21,7,1.076
TL Seifert (NZ),New Zealand,2018,2021,40,40,27,21,6,0.675
Nurul Hasan (BAN),Bangladesh,2016,2022,46,45,30,21,9,0.666
KD Karthik (ICC/IND),India,2006,2022,60,19,27,19,8,1.421
A Shreshta (NGA),Nigeria,2021,2022,19,19,20,18,2,1.052
R Mutumbami (ZIM),Zimbabwe,2015,2022,29,22,23,18,5,1.045
MV Boucher (SA),South Africa,2005,2010,25,25,19,18,1,0.76
Rahmanullah Gurbaz (AFG),Afghanistan,2019,2022,35,30,20,18,2,0.666
F Achelam (UGA),Uganda,2019,2022,34,32,23,18,5,0.718
LD Chandimal (SL),Sri Lanka,2010,2022,68,32,24,18,6,0.75
AC Gilchrist (AUS),Australia,2005,2008,13,13,17,17,0,1.307
Awais Ahmed (ESP),Spain,2019,2022,23,21,26,17,9,1.238
C Kieswetter (ENG),England,2010,2012,25,23,20,17,3,0.869
